grade	unitId	lessonId	title	status	stepCount
G1	g1u7	g1-u7-l1	Sorting and Organizing Data	topic:tally	?
G1	g1u7	g1-u7-l2	Picture Graphs	topic:pictograph	?
G1	g1u7	g1-u7-l3	Bar-Type Graphs	topic:bar-graph	?
G1	g1u7	g1-u7-l4	Drawing Conclusions from Data	fallback-points	6
G1	g1u8	g1-u8-l1	Earning Income	fallback-points	6
G1	g1u8	g1-u8-l2	Goods and Services	fallback-points	6
G1	g1u8	g1-u8-l3	Spending and Saving	fallback-points	6
G1	g1u8	g1-u8-l4	Charitable Giving	fallback-points	6
K	ku1	ku1l1	Counting to 10	fallback-points	3
K	ku1	ku1l2	Quick Look	fallback-points	3
K	ku1	ku1l3	Counting to 20	fallback-points	3
K	ku1	ku1l4	Count to 20 — Review	topic:count-on	?
K	ku1	ku1l5	Read and Represent 11–20	fallback-points	3
K	ku1	ku1l6	Counting Strategies	topic:count-on	?
K	ku1	ku1l7	Quick Look: Subitize	fallback-points	3
K	ku2	ku2l1	One More, One Less	topic:count-on	?
K	ku2	ku2l2	Compare Sets	topic:compare	?
K	ku2	ku2l3	Compare Numbers	topic:compare	?
K	ku2	ku2l4	Compose & Decompose	topic:number-bond	?
K	ku2	ku2l5	More, Less, and Equal	topic:compare	?
K	ku2	ku2l6	One More / One Less — Review	topic:count-on	?
K	ku3	ku3l1	Adding Numbers	topic:count-on	?
K	ku3	ku3l2	Subtracting Numbers	topic:count-on	?
K	ku3	ku3l3	Word Problems	fallback-points	3
K	ku3	ku3l4	Explain Thinking	fallback-points	3
K	ku3	ku3l5	Story Problems: Join & Separate	fallback-points	3
K	ku3	ku3l6	Explain Your Math	fallback-points	3
K	ku4	ku4l1	Count Forward by Ones	topic:count-on	?
K	ku4	ku4l2	Count by Tens	topic:skip-count	?
K	ku4	ku4l3	Count from Any Number	fallback-points	3
K	ku4	ku4l4	Missing Numbers in Patterns	topic:compare	?
K	ku5	ku5l1	Flat Shapes (2D)	topic:shape	?
K	ku5	ku5l2	Solid Shapes (3D)	topic:shape	?
K	ku5	ku5l3	Sides & Corners	topic:shape	?
K	ku5	ku5l4	Sort & Create Shapes	topic:shape	?
K	ku6	ku6l1	Comparing Length & Height	topic:measure	?
K	ku6	ku6l2	Comparing Weight & Capacity	topic:measure	?
K	ku6	ku6l3	Ordering by Size	topic:measure	?
K	ku6	ku6l4	Measurable Attributes	topic:measure	?
K	ku7	ku7l1	Sort Into Groups	fallback-points	3
K	ku7	ku7l2	Build and Read Picture Graphs	topic:pictograph	?
K	ku7	ku7l3	Read Picture Graphs	topic:pictograph	?
K	ku7	ku7l4	Compare Data	fallback-points	3
K	ku8	ku8l1	Earning Money & Jobs	fallback-points	3
K	ku8	ku8l2	Wants vs Needs	fallback-points	3
K	ku8	ku8l3	Identify Coins	topic:money	?
K	ku8	ku8l4	Compare Coins	topic:money	?
